question,class1,class2,wh,headWord,synomums1,synomums2,synomums3,AllCaps,AllLowerCase,AllDigits,AllLetters,others,Location,Person,Organization,Money,Percent,Date,Time,DURATION,MISC,NUMBER,SET,ORDINAL,db
Any suggestions for things to see and do in Cairns itself?,TTD,TTDSIG,other,thing,thing,none,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q city populatedPlace settlement wgs city place place location city populatedPlace village location administrativeDistrict city district geographicalArea location municipality object physicalEntity region site tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatCitiesInAustralia wikicatCitiesInQueensland wikicatCoastalCitiesInAustralia wikicatPopulatedPlacesInQueensland wikicatPortCitiesInAustralia wikicatQueenslandPlacesWithWarMemorials
What can we buy as souvenirs in Adelaide?,TTD,TTDSHP,what,souvenir,keepsake,souvenir,token,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q city populatedPlace settlement wgs city place place location city populatedPlace village location administrativeDistrict area capital center city district geographicalArea location municipality object physicalEntity region seat site town tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAustralianCapitalCities wikicatCitiesInAustralia wikicatCitiesInSouthAustralia wikicatCoastalCitiesInAustralia wikicatPlannedCapitals wikicatPopulatedPlacesEstablishedIn wikicatPortCities wikicatTownsInSouthAustralia
Can anyone tell me about the babysitting service at Desert Gardens Hotel?,ACM,ACMHOT,other,service,service,none,none,true,true,false,false,flase,3,0,0,0,0,0,0,0,0,0,0,0,
Does anyone know about famous lobster restaurant around Margaret River Region?,FOD,FODBAK,other,Region,region,part,none,true,true,false,false,flase,3,0,0,0,0,0,0,0,0,0,0,0,
Which national park in Australia with more wildlife during November?,TTD,TTDSIG,which,park,park,parkland,none,true,true,false,false,flase,1,0,0,0,0,1,0,0,0,0,0,0,   q q country populatedPlace wgs country place place location country populatedPlace location administrativeDistrict country district island land location object physicalEntity region yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatCountries wikicatCountriesInOceania wikicatEnglish wikicatFederalCountries wikicatIslandCountries wikicatIslands wikicatMemberStatesOfTheCommonwealthOfNations wikicatMemberStatesOfTheUnitedNations wikicatStatesAndTerritoriesEstablishedIn   abstraction calendarMonth fundamentalQuantity measure timePeriod wikicatMonths
Does anyone have recommendations for good 'local' food in Perth ?,FOD,FODAUT,other,food,food,nutrient,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q city populatedPlace settlement wgs city place place location city populatedPlace village location administrativeDistrict city district geographicalArea location municipality object physicalEntity region residentialDistrict site suburb town tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAustralianCapitalCities wikicatCitiesInAustralia wikicatCitiesInWesternAustralia wikicatCoastalCitiesInAustralia wikicatPopulatedPlacesEstablishedIn wikicatSuburbsOfPerth wikicatTownsInWesternAustralia
How will be the weather in Tasmania on next October?,WTH,WTHOTH,how,weather,weather,weather_condition,atmospheric_condition,true,true,false,false,flase,1,0,0,0,0,2,0,0,0,0,0,0,   q q administrativeRegion populatedPlace region wgs administrativeArea place place location jurisdiction island populatedPlace administrativeDistrict district geographicalArea island land location object physicalEntity region site tract yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatIslandsOfAustralia wikicatIslandsOfOceania wikicatIslandsOfTasmania wikicatIslandsOfThePacificOcean wikicatStatesAndTerritoriesEstablishedIn wikicatStatesAndTerritoriesOfAustralia wikicatWorldHeritageSitesInAustralia
What is the name of the bus service from the Hyperdome to Southport?,TRS,TRSBUS,what,service,service,none,none,true,true,false,false,flase,2,0,0,0,0,0,0,0,0,0,0,0,   q populatedPlace settlement wgs place place location populatedPlace town village location administrativeDistrict district geographicalArea location municipality object physicalEntity region site town tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatPopulatedCoastalPlacesInMerseyside wikicatPostTownsInThePRPostcodeArea wikicatTownsAndVillagesInSefton wikicatTownsInMerseyside
Was just wondering whether 1200 English pound was a good deal for 2 people to stay in a room in someone's property in Sydney for a month over New Year / January,TGU,TGUAVE,other,wonder,wonder,inquire,enquire,true,true,true,true,flase,1,0,0,0,0,4,0,2,1,1,0,0,   dUL q timePeriod year   dUL q timePeriod year   q q city populatedPlace settlement wgs city place place location city populatedPlace village location administrativeDistrict area city district geographicPoint geographicalArea location municipality object physicalEntity point port region residentialDistrict site suburb tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAustralianCapitalCities wikicatCitiesInAustralia wikicatCitiesInNewSouthWales wikicatMetropolitanAreasOfAustralia wikicatPopulatedPlacesEstablishedIn wikicatPortCitiesInAustralia wikicatPortsAndHarbours wikicatSuburbsOfSydney   abstraction calendarMonth fundamentalQuantity measure timePeriod wikicatMonths
What is the best company to hire campervans in Australia?,TGU,TGUTOP,what,company,company,none,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q country populatedPlace wgs country place place location country populatedPlace location administrativeDistrict country district island land location object physicalEntity region yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatCountries wikicatCountriesInOceania wikicatEnglish wikicatFederalCountries wikicatIslandCountries wikicatIslands wikicatMemberStatesOfTheCommonwealthOfNations wikicatMemberStatesOfTheUnitedNations wikicatStatesAndTerritoriesEstablishedIn
Does anyone know if there is any rafting tour going to Whitehaven from Hamilton Island?,TGU,TGUTOP,other,Island,island,none,none,true,true,false,false,flase,2,0,1,0,0,0,0,0,0,0,0,0,   q populatedPlace settlement wgs place place location administrativeDistrict city district geographicPoint geographicalArea location municipality object physicalEntity point port region settlement site town tract urbanArea village yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatPopulatedCoastalPlacesInCumbria wikicatPortCities wikicatPortsAndHarboursOfCumbria wikicatPostTownsInTheCAPostcodeArea wikicatTownsInCumbria wikicatVillagesInCumbria
Do the maxi taxis at the Gold Coast airport have child/booster seats?,TRS,TRSTAX,other,seat,seat,place,none,true,true,false,false,flase,2,0,0,0,0,0,0,0,0,0,0,0,
Can anyone suggest me a good hairdresser in Norfolk Island?,TGU,TGUPLN,other,Island,island,none,none,true,true,false,false,flase,2,0,0,0,0,0,0,0,0,0,0,0,
Any interesting places to recommend for Kangaroo Valley?,TTD,TTDSIG,other,place,topographic_point,place,spot,true,true,false,false,flase,2,0,0,0,0,0,0,0,0,0,0,0,
Any sports stores around Canberra that sell Canberra teams merch?,TTD,TTDSHP,other,store,shop,store,none,true,true,false,false,flase,2,0,0,0,0,0,0,0,0,0,0,0,   q q city populatedPlace settlement wgs city place place location city populatedPlace village location administrativeDistrict area capital center city district geographicalArea location municipality object physicalEntity region seat site tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAustralianCapitalCities wikicatCapitalsInOceania wikicatCitiesInAustralia wikicatCitiesPlannedByWalterBurleyGriffin wikicatPlannedCapitals wikicatPlannedCities wikicatPopulatedPlacesEstablishedIn wikicatPopulatedPlacesOnTheMurrumbidgeeRiver
How much is the typical maximum withdrawal from ATMs at Australia?,TGU,TGUBAN,how,withdrawal,withdrawal,backdown,climb-down,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q country populatedPlace wgs country place place location country populatedPlace location administrativeDistrict country district island land location object physicalEntity region yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatCountries wikicatCountriesInOceania wikicatEnglish wikicatFederalCountries wikicatIslandCountries wikicatIslands wikicatMemberStatesOfTheCommonwealthOfNations wikicatMemberStatesOfTheUnitedNations wikicatStatesAndTerritoriesEstablishedIn
Can anyone recommend a restaurant in Melbourne that has a round / square table that would accommodate 13 people on a Friday night?,FOD,FODBAK,other,Melbourne,Melbourne,none,none,true,true,true,true,flase,1,0,0,0,0,1,2,0,0,1,0,0,   q q city populatedPlace settlement wgs city place place location city populatedPlace village administrativeDistrict area capital center city district geographicalArea landmark location municipality nationalCapital object physicalEntity point position region region seat site tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAustralianCapitalCities wikicatCitiesInAustralia wikicatCitiesInVictoria wikicatCoastalCitiesInAustralia wikicatFormerNationalCapitals wikicatLandmarksInMelbourne wikicatMetropolitanAreasOfAustralia wikicatPopulatedPlacesEstablishedIn wikicatPopulatedPlacesEstablishedInThe wikicatPortCitiesInAustralia wikicatRegionsOfVictoria   dUL q timePeriod year artist causalAgent creator livingThing object organism person physicalEntity whole yagoLegalActor yagoLegalActorGeo   abstraction day measure timeUnit wikicatDaysOfTheWeek
What are the differences between Coles and Woolworths Supermarkets in South Western Australia?,TTD,TTDSHP,what,difference,difference,none,none,true,true,false,false,flase,3,1,1,0,0,0,0,0,0,0,0,0,
Are plastic bags provided on a complimentary basis in the supermarkets in WA ?,TGU,TGURUL,other,bag,bag,none,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0, abbreviation abstraction form languageUnit part relation word wikicatAbbreviations
"What is best to spend New Year's Eve, Royal Botanical Gardens or Goat Island?",ACM,ACMOTH,what,best,best,none,none,true,true,false,false,flase,5,0,0,0,0,4,0,0,0,0,0,0,
Does anyone know of a way to get any discounts or promo for Sydney City Tour with Opera House Tour,TGU,TGUTOP,other,way,manner,mode,style,true,true,false,false,flase,1,0,0,0,0,0,0,0,1,0,0,0,   q q city populatedPlace settlement wgs city place place location city populatedPlace village location administrativeDistrict area city district geographicPoint geographicalArea location municipality object physicalEntity point port region residentialDistrict site suburb tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAustralianCapitalCities wikicatCitiesInAustralia wikicatCitiesInNewSouthWales wikicatMetropolitanAreasOfAustralia wikicatPopulatedPlacesEstablishedIn wikicatPortCitiesInAustralia wikicatPortsAndHarbours wikicatSuburbsOfSydney
Is it truly possible to see the milky way from Lady Darley Lookout or are there any other places that I can go to see the Milky way?,TTD,TTDSIG,other,possible,possible,none,none,true,true,false,false,flase,0,1,0,0,0,0,0,0,0,0,0,0,
Typically are the BBQ Grills electric or gas at rental accommodations that have them?,ACM,ACMOTH,other,Grills,none,none,none,true,true,false,false,flase,0,0,0,0,0,0,0,0,0,0,0,0,
What car companies offer drop-off services at the international terminal?,TRS,TRSRNT,what,company,company,none,none,false,true,false,false,flase,0,0,0,0,0,0,0,0,0,0,0,0,
Just wondering if anyone can recommend a travel insurance company for domestic travel.,TGU,TGUVIS,other,wonder,wonder,inquire,enquire,false,true,false,false,flase,0,0,0,0,0,0,0,0,0,0,0,0,
Does anyone have any ideas where should we visit at Night in the Eastern suburbs of Melbourne?,TTD,TTDSIG,where,Night,night,nighttime,dark,true,true,false,false,flase,1,0,0,0,0,0,1,0,1,0,0,0,     q q city populatedPlace settlement wgs city place place location city populatedPlace village administrativeDistrict area capital center city district geographicalArea landmark location municipality nationalCapital object physicalEntity point position region region seat site tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAustralianCapitalCities wikicatCitiesInAustralia wikicatCitiesInVictoria wikicatCoastalCitiesInAustralia wikicatFormerNationalCapitals wikicatLandmarksInMelbourne wikicatMetropolitanAreasOfAustralia wikicatPopulatedPlacesEstablishedIn wikicatPopulatedPlacesEstablishedInThe wikicatPortCitiesInAustralia wikicatRegionsOfVictoria
Which places in Fremantle offer good fish and seafood on New Year's Eve?,FOD,FODBAK,which,fish,fish,none,none,true,true,false,false,flase,1,0,0,0,0,4,0,0,0,0,0,0,   q q city populatedPlace settlement wgs city place place location city populatedPlace village location administrativeDistrict city district geographicalArea location municipality object physicalEntity region site tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatCitiesInWesternAustralia wikicatCoastalCitiesInAustralia wikicatPopulatedPlacesEstablishedIn wikicatPortCitiesAndTownsOfTheIndianOcean wikicatPortCitiesInAustralia
"When apartments/lodges & cabins in tourist parks say that trolls and linens included, does that include wash clothes, sometimes called facial clothes?",ACM,ACMOTH,when,park,park,parkland,none,false,true,false,false,flase,0,0,0,0,0,0,0,0,0,0,0,0,
Is it cheaper to buy the tickets for Seaworld and for Dreamworld online than at the gate?,TTD,TTDSIG,other,cheaper,none,none,none,true,true,false,false,flase,0,0,1,0,0,0,0,0,1,0,0,0,   wgs
What are the fancy 5 star hotels in Sydney with club lounge?,ACM,ACMHOT,what,hotel,hotel,none,none,true,true,true,true,flase,1,0,0,0,0,0,0,0,0,1,0,0,   dUL q timePeriod year   q q city populatedPlace settlement wgs city place place location city populatedPlace village location administrativeDistrict area city district geographicPoint geographicalArea location municipality object physicalEntity point port region residentialDistrict site suburb tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAustralianCapitalCities wikicatCitiesInAustralia wikicatCitiesInNewSouthWales wikicatMetropolitanAreasOfAustralia wikicatPopulatedPlacesEstablishedIn wikicatPortCitiesInAustralia wikicatPortsAndHarbours wikicatSuburbsOfSydney
can anyone recommend a reliable minibus / van rental company in Sydney with reasonable rates?,TRS,TRSRNT,other,Sydney,Sydney,none,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q city populatedPlace settlement wgs city place place location city populatedPlace village location administrativeDistrict area city district geographicPoint geographicalArea location municipality object physicalEntity point port region residentialDistrict site suburb tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAustralianCapitalCities wikicatCitiesInAustralia wikicatCitiesInNewSouthWales wikicatMetropolitanAreasOfAustralia wikicatPopulatedPlacesEstablishedIn wikicatPortCitiesInAustralia wikicatPortsAndHarbours wikicatSuburbsOfSydney
Does anyone know of a car rental company at the Launceston airport that will give a full insurance coverage policy?,TRS,TRSRNT,other,car,car,auto,automobile,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0, administrativeDistrict city district geographicalArea location municipality object physicalEntity region site tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatCitiesInAustralia wikicatCitiesInTasmania
From which websites I can find details about public transport in Australia?,TGU,TGUATT,which,from,none,none,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q country populatedPlace wgs country place place location country populatedPlace location administrativeDistrict country district island land location object physicalEntity region yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatCountries wikicatCountriesInOceania wikicatEnglish wikicatFederalCountries wikicatIslandCountries wikicatIslands wikicatMemberStatesOfTheCommonwealthOfNations wikicatMemberStatesOfTheUnitedNations wikicatStatesAndTerritoriesEstablishedIn
Is it feasible to cover Blue Mountains tour with a toddler?,TTD,TTDOTH,other,feasible,feasible,executable,practicable,true,true,false,false,flase,2,0,0,0,0,0,0,0,0,0,0,0,
What are the special things we can see during a Seaplane tour at Airlie beach?,TTD,TTDSIG,what,thing,thing,none,none,true,true,false,false,flase,0,0,1,0,0,0,0,0,0,0,0,0,
I would like to know if there are any fruit orchards around Perth that allows fruit picking?,TTD,TTDSIG,other,Perth,Perth,none,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q city populatedPlace settlement wgs city place place location city populatedPlace village location administrativeDistrict city district geographicalArea location municipality object physicalEntity region residentialDistrict site suburb town tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAustralianCapitalCities wikicatCitiesInAustralia wikicatCitiesInWesternAustralia wikicatCoastalCitiesInAustralia wikicatPopulatedPlacesEstablishedIn wikicatSuburbsOfPerth wikicatTownsInWesternAustralia
I need help picking a snorkeling tour operator in Cairns.,TGU,TGUTOP,other,help,aid,assist,assistance,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q city populatedPlace settlement wgs city place place location city populatedPlace village location administrativeDistrict city district geographicalArea location municipality object physicalEntity region site tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatCitiesInAustralia wikicatCitiesInQueensland wikicatCoastalCitiesInAustralia wikicatPopulatedPlacesInQueensland wikicatPortCitiesInAustralia wikicatQueenslandPlacesWithWarMemorials
Any suggestions for a central hotel in Perth which is in walking distance of restaurants?,ACM,ACMHOT,which,hotel,hotel,none,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q city populatedPlace settlement wgs city place place location city populatedPlace village location administrativeDistrict city district geographicalArea location municipality object physicalEntity region residentialDistrict site suburb town tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAustralianCapitalCities wikicatCitiesInAustralia wikicatCitiesInWesternAustralia wikicatCoastalCitiesInAustralia wikicatPopulatedPlacesEstablishedIn wikicatSuburbsOfPerth wikicatTownsInWesternAustralia
What are some reasonably priced motels with a free shuttle to the Sydney airport?,ACM,ACMHOT,what,motel,motel,none,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q city populatedPlace settlement wgs city place place location city populatedPlace village location administrativeDistrict area city district geographicPoint geographicalArea location municipality object physicalEntity point port region residentialDistrict site suburb tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAustralianCapitalCities wikicatCitiesInAustralia wikicatCitiesInNewSouthWales wikicatMetropolitanAreasOfAustralia wikicatPopulatedPlacesEstablishedIn wikicatPortCitiesInAustralia wikicatPortsAndHarbours wikicatSuburbsOfSydney
Does the Landsborough Pub have a courtesy bus?,TRS,TRSBUS,other,do,make,do,none,true,true,false,false,flase,0,0,2,0,0,0,0,0,0,0,0,0,
Is it safe to do a Great Barrier Reef tour in Summer?,TGU,TGUHEA,other,safe,safe,none,none,true,true,false,false,flase,0,0,0,0,0,1,0,0,3,0,0,0,  
Is there anywhere to go to get a good view of the Sydney harbour?,TTD,TTDSIG,where,anywhere,anywhere,anyplace,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q city populatedPlace settlement wgs city place place location city populatedPlace village location administrativeDistrict area city district geographicPoint geographicalArea location municipality object physicalEntity point port region residentialDistrict site suburb tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAustralianCapitalCities wikicatCitiesInAustralia wikicatCitiesInNewSouthWales wikicatMetropolitanAreasOfAustralia wikicatPopulatedPlacesEstablishedIn wikicatPortCitiesInAustralia wikicatPortsAndHarbours wikicatSuburbsOfSydney
Is there a good sized grocery in Port Douglas ?,TTD,TTDSHP,other,grocery,grocery_store,grocery,food_market,true,true,false,false,flase,0,1,0,0,0,0,0,0,0,0,0,0,
Need to know whether US traveller need a voltage converter along with an electrical adapter to use in Australia?,TGU,TGUATT,other,traveller,traveler,traveller,none,true,true,false,false,flase,2,0,0,0,0,0,0,0,0,0,0,0,   q q country populatedPlace wgs country place place location country populatedPlace location administrativeDistrict country district island land location object physicalEntity region yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatCountries wikicatCountriesInOceania wikicatEnglish wikicatFederalCountries wikicatIslandCountries wikicatIslands wikicatMemberStatesOfTheCommonwealthOfNations wikicatMemberStatesOfTheUnitedNations wikicatStatesAndTerritoriesEstablishedIn
Which is the best option for buffet at Surfers Paradise Seafood Buffet at Citrique Marriott or Four Winds Crown?,FOD,FODCAT,which,option,option,none,none,true,true,false,false,flase,0,0,6,0,0,0,0,0,0,1,0,0,
Is the Woodland Store in Jabiru more like a Supermarket or more like a convenience store with just a few items?,TTD,TTDSHP,other,Store,shop,store,none,true,true,false,false,flase,3,0,0,0,0,0,0,0,0,0,0,0,   q q animal bird eukaryote species animal bird biologicalLivingObject eukaryoticCell
What are the laundromats in Sydney CBD which I can do self washing?,TGU,TGULAU,what,laundromat,launderette,Laundromat,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q city populatedPlace settlement wgs city place place location city populatedPlace village location administrativeDistrict area city district geographicPoint geographicalArea location municipality object physicalEntity point port region residentialDistrict site suburb tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAustralianCapitalCities wikicatCitiesInAustralia wikicatCitiesInNewSouthWales wikicatMetropolitanAreasOfAustralia wikicatPopulatedPlacesEstablishedIn wikicatPortCitiesInAustralia wikicatPortsAndHarbours wikicatSuburbsOfSydney
I want to find great camping spots between cairns and Adelaide?,ACM,ACMBUN,other,spot,topographic_point,place,spot,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q city populatedPlace settlement wgs city place place location city populatedPlace village location administrativeDistrict area capital center city district geographicalArea location municipality object physicalEntity region seat site town tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAustralianCapitalCities wikicatCitiesInAustralia wikicatCitiesInSouthAustralia wikicatCoastalCitiesInAustralia wikicatPlannedCapitals wikicatPopulatedPlacesEstablishedIn wikicatPortCities wikicatTownsInSouthAustralia
Is it a long drive between Port fairy to Melbourne for 1 day?,TRS,TRSROU,other,drive,drive,thrust,driving_force,true,true,true,true,flase,1,0,0,0,0,0,0,2,0,0,0,0,   q q city populatedPlace settlement wgs city place place location city populatedPlace village administrativeDistrict area capital center city district geographicalArea landmark location municipality nationalCapital object physicalEntity point position region region seat site tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAustralianCapitalCities wikicatCitiesInAustralia wikicatCitiesInVictoria wikicatCoastalCitiesInAustralia wikicatFormerNationalCapitals wikicatLandmarksInMelbourne wikicatMetropolitanAreasOfAustralia wikicatPopulatedPlacesEstablishedIn wikicatPopulatedPlacesEstablishedInThe wikicatPortCitiesInAustralia wikicatRegionsOfVictoria
What documentation will I need when picking up a rental car?,TRS,TRSRNT,what,I,none,none,none,true,true,false,false,flase,0,0,0,0,0,0,0,0,0,0,0,0,
Any suggestions for a great Farm stay suitable for a family ?,ACM,ACMBUN,other,stay,stay,none,none,true,true,false,false,flase,0,0,0,0,0,0,0,0,0,0,0,0,
Are there any restaurants or Pubs in Black Cockatoo near the Wilsons Promontory National Park?,FOD,FODBAK,other,cockatoo,cockatoo,none,none,true,true,false,false,flase,4,0,0,0,0,0,0,0,0,0,0,0,
"Is it possible to buy and be able to drink, any duty free alcohol that is brought from the bond shop while on holidays on the island?",TGU,TGURUL,other,possible,possible,none,none,false,true,false,false,flase,0,0,0,0,0,0,0,0,0,0,0,0,
"Is there any shop offer baggage storage nearby The Rock, Sydney?",TGU,TGULUG,other,storage,storage,none,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q city populatedPlace settlement wgs city place place location city populatedPlace village location administrativeDistrict area city district geographicPoint geographicalArea location municipality object physicalEntity point port region residentialDistrict site suburb tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAustralianCapitalCities wikicatCitiesInAustralia wikicatCitiesInNewSouthWales wikicatMetropolitanAreasOfAustralia wikicatPopulatedPlacesEstablishedIn wikicatPortCitiesInAustralia wikicatPortsAndHarbours wikicatSuburbsOfSydney
"Looking to get married in Sydney in December, very simple just 2 of us and our son, where is best to find information ?",TGU,TGUATT,where,Sydney,Sydney,none,none,true,true,true,true,flase,1,0,0,0,0,1,0,0,0,1,0,0,   q q city populatedPlace settlement wgs city place place location city populatedPlace village location administrativeDistrict area city district geographicPoint geographicalArea location municipality object physicalEntity point port region residentialDistrict site suburb tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAustralianCapitalCities wikicatCitiesInAustralia wikicatCitiesInNewSouthWales wikicatMetropolitanAreasOfAustralia wikicatPopulatedPlacesEstablishedIn wikicatPortCitiesInAustralia wikicatPortsAndHarbours wikicatSuburbsOfSydney   abstraction calendarMonth fundamentalQuantity measure timePeriod wikicatMonths   dUL q timePeriod year
Is there anywhere we could get to from Adelaide that we could see some wild seals?,TTD,TTDSIG,where,anywhere,anywhere,anyplace,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q city populatedPlace settlement wgs city place place location city populatedPlace village location administrativeDistrict area capital center city district geographicalArea location municipality object physicalEntity region seat site town tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAustralianCapitalCities wikicatCitiesInAustralia wikicatCitiesInSouthAustralia wikicatCoastalCitiesInAustralia wikicatPlannedCapitals wikicatPopulatedPlacesEstablishedIn wikicatPortCities wikicatTownsInSouthAustralia
are there any recommendations for picking fruits at fruit farms near Joondalup around mid September?,TTD,TTDSHP,other,farm,farm,none,none,true,true,false,false,flase,1,0,0,0,0,2,0,0,0,0,0,0,   q q city populatedPlace settlement wgs city place place location populatedPlace village location administrativeDistrict city district geographicalArea location municipality object physicalEntity region site tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatCitiesInWesternAustralia
Does anyone know if there are more race meetings held other than the Towong Cup in March each year?,ENT,ENTSPO,other,Cup,cup,none,none,true,true,false,false,flase,0,0,0,0,0,1,0,0,2,0,2,0,   abstraction calendarMonth fundamentalQuantity measure timePeriod wikicatMonths
Is there any restaurants similar to Graze in Perth?,FOD,FODBAK,other,similar,similar,none,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q city populatedPlace settlement wgs city place place location city populatedPlace village location administrativeDistrict city district geographicalArea location municipality object physicalEntity region residentialDistrict site suburb town tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAustralianCapitalCities wikicatCitiesInAustralia wikicatCitiesInWesternAustralia wikicatCoastalCitiesInAustralia wikicatPopulatedPlacesEstablishedIn wikicatSuburbsOfPerth wikicatTownsInWesternAustralia
Are there any clubs in Canberra that you would consider safe to go out by yourself to dance?,TGU,TGUHEA,other,Canberra,Canberra,Australian_capital,capital_of_Australia,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q city populatedPlace settlement wgs city place place location city populatedPlace village location administrativeDistrict area capital center city district geographicalArea location municipality object physicalEntity region seat site tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAustralianCapitalCities wikicatCapitalsInOceania wikicatCitiesInAustralia wikicatCitiesPlannedByWalterBurleyGriffin wikicatPlannedCapitals wikicatPlannedCities wikicatPopulatedPlacesEstablishedIn wikicatPopulatedPlacesOnTheMurrumbidgeeRiver
Which areas we should consider when hiring apartments in Melbourne for 2 weeks?,ACM,ACMAPA,which,consider,see,consider,reckon,true,true,true,true,flase,1,0,0,0,0,0,0,2,0,0,0,0,   q q city populatedPlace settlement wgs city place place location city populatedPlace village administrativeDistrict area capital center city district geographicalArea landmark location municipality nationalCapital object physicalEntity point position region region seat site tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAustralianCapitalCities wikicatCitiesInAustralia wikicatCitiesInVictoria wikicatCoastalCitiesInAustralia wikicatFormerNationalCapitals wikicatLandmarksInMelbourne wikicatMetropolitanAreasOfAustralia wikicatPopulatedPlacesEstablishedIn wikicatPopulatedPlacesEstablishedInThe wikicatPortCitiesInAustralia wikicatRegionsOfVictoria
Are there any casual dinner options in the Harbor Rocks area without breaking the bank?,FOD,FODOTH,other,area,area,country,none,true,true,false,false,flase,2,0,0,0,0,0,0,0,0,0,0,0,
"What is the best location to stay in King Island with easy access to shops, pubs and fishing?",ACM,ACMOTH,what,location,location,none,none,true,true,false,false,flase,2,0,0,0,0,0,0,0,0,0,0,0,
